Slug	Id	Title	Difficulty	Topic	Pattern	Invariant	Code	Complexity	Pitfall(s)	Racket Comparison	Source
evaluate-reverse-polish-notation	150	Evaluate Reverse Polish Notation	Medium	Array; Stack	Stack machine over tokens: push literals, pop two operands for each operator.	After each prefix of the token stream, the stack holds the values of complete subexpressions from that prefix, topmost first.	"evalRPN tokens = case foldl' step [] tokens of
  [] -> 0
  t:_ -> t

step stack token = case readMaybe token of
  Just n -> n : stack
  Nothing -> pop two operands and apply token"	Time: O(n). Space: O(n) for the stack.	Operand order matters: for stack `s1:s0:rest`, subtraction and division are `s0 - s1` and `s0 quot s1`.		0150-evaluate-reverse-polish-notation/haskell/Solution.hs
number-of-islands	200	Number of Islands	Medium	Matrix; Connected Components	Scan the grid; each unseen land cell starts a BFS that marks one whole component.	All cells already scanned or reached by prior BFS runs are non-land in the working array; each new land root contributes exactly one island.	"fold over array indices
  if current cell is '1': BFS mark its component and increment count
  otherwise continue"	Time: O(mn). Space: O(mn).	Mark when enqueuing neighbors, not after repeated rediscovery, to avoid duplicate queue work.		0200-number-of-islands/haskell/Solution.hs
invert-binary-tree	226	Invert Binary Tree	Easy	Tree; Recursion	Structural recursion over a binary tree.	The inverted tree preserves every node value and recursively swaps the left and right subtrees at every node.	"invertTree Empty = Empty
invertTree (Node x l r) = Node x (invertTree r) (invertTree l)"	Time: O(n). Space: O(h) call stack.	The useful property check is involution: inverting twice returns the original tree.		0226-invert-binary-tree/haskell/Solution.hs
product-of-array-except-self	238	Product of Array Except Self	Medium	Array; Prefix/Suffix Product	Prefix and suffix scans over multiplication, then pointwise combine.	At index i, the answer is product(elements before i) times product(elements after i). No division is needed, so zeros are handled naturally.	"productExceptSelf =
  zipWith (*) <$> (init . scanl (*) 1) <*> (drop 1 . scanr (*) 1)"	Time: O(n). Space: O(n) for prefix/suffix scan lists.	Use `drop 1` on the suffix scan rather than dividing by nums[i]; division fails on zeros and is outside the intended pattern.		0238-product-of-array-except-self/haskell/Solution.hs
coin-change	322	Coin Change	Medium	Dynamic Programming; Array	Bottom-up DP table over amounts, with `amount + 1` as the unreachable sentinel.	After filling amount n, table[n] is the fewest coins needed for n using the available positive denominations, or the sentinel if unreachable.	"dp coins amount = a A.! amount
  where
    inf = amount + 1
    a = A.array (0, amount) [(x, f x) | x <- [0..amount]]
    f 0 = 0
    f n = minimumOrInf [1 + a A.! (n - coin) | coin <- coins, n - coin >= 0]"	Time: O(amount * number of coins). Space: O(amount).	A recurrence that names `dp` is not necessarily shared. Tie the table once or use an array; otherwise repeated indexing/reconstruction can dominate.		0322-coin-change/haskell/Solution.hs
01-matrix	542	01 Matrix	Medium	Matrix; Multi-source BFS	Multi-source BFS from all zero cells to fill nearest-zero distances.	When a cell first receives a distance, that distance is minimal because BFS expands in increasing distance order from all zero sources.	"dist0 = 0 at every zero and -1 elsewhere
q0 = all zero cells
for each popped cell, assign unseen neighbors distance + 1"	Time: O(mn). Space: O(mn).	Start from all zeros. Starting BFS separately from each one-cell is much slower and obscures the invariant.		0542-01-matrix/haskell/Solution.hs
diameter-of-binary-tree	543	Diameter of Binary Tree	Easy	Tree; DFS	Tree fold returning a pair: height and best diameter seen below.	For each node, height is the longest downward edge count, while best is the maximum of left best, right best, and the path through this node.	"heightAndBest Empty = (-1, -1)
heightAndBest (Node _ l r) =
  let (lh, lb) = heightAndBest l
      (rh, rb) = heightAndBest r
  in (1 + max lh rh, maximum [lb, rb, lh + rh + 2])"	Time: O(n). Space: O(h) call stack.	Use edge counts consistently: empty height -1 makes a leaf height 0 and leaf diameter 0.		0543-diameter-of-binary-tree/haskell/Solution.hs
binary-search	704	Binary Search	Easy	Array; Binary Search	Closed-interval binary search.	If the target exists, it is inside the current inclusive interval `[l, r]`; outside the interval has been ruled out.	"step l r
  | l <= r = compare target with nums[mid] and keep the half that can still contain it
  | otherwise = -1"	Time: O(log n). Space: O(n) here for array conversion, O(1) with native random-access input.	Move past `mid` on recursive calls. Empty input starts with `l = 0, r = -1` and returns -1 without indexing.		0704-binary-search/haskell/Solution.hs
flood-fill	733	Flood Fill	Easy	Matrix; BFS; DFS	BFS over the connected component of cells matching the source color, followed by one final update.	The queue contains same-color cells whose neighbors still need scanning; the visited map marks exactly same-color cells already reached from the start.	"floodFill image sr sc color
  | originalColor == color = image
  | otherwise = recolor visitedComponent

step (q, visited) = dequeue one cell, enqueue unseen same-color neighbors"	Time: O(mn log mn) with Map. Space: O(mn).	Do not cross diagonals, and do not mutate/rewrite the array repeatedly when a final component update will do.		0733-flood-fill/haskell/Solution.hs
rotting-oranges	994	Rotting Oranges	Medium	Matrix; Multi-source BFS	Multi-source BFS by levels, starting from every initially rotten orange.	After each minute, all oranges reachable in that many steps from any source are rotten, and the queue holds the next frontier.	"q0 = enqueue all initially rotten cells
process one queue level at a time
increment time only if that level rotted at least one fresh orange"	Time: O(mn). Space: O(mn).	Minute count is level-based, not pop-based. Return -1 if fresh oranges remain after the queue is empty.		0994-rotting-oranges/haskell/Solution.hs
